path,line,type,msg_id,symbol,date
package_a\__main__.py,41,warning,W0612,unused-variable,2018-12-29T10:43
package_a\__main__.py,44,warning,W0612,unused-variable,2018-12-29T10:43
package_a\__main__.py,36,refactor,R0903,too-few-public-methods,2018-12-29T10:43
package_a\__main__.py,2,warning,W0611,unused-import,2018-12-29T10:43
package_a\__main__.py,3,warning,W0614,unused-wildcard-import,2018-12-29T10:43
package_a\__main__.py,3,warning,W0614,unused-wildcard-import,2018-12-29T10:43
package_a\__main__.py,3,warning,W0614,unused-wildcard-import,2018-12-29T10:43
package_a\__main__.py,3,warning,W0614,unused-wildcard-import,2018-12-29T10:43
package_a\__main__.py,3,warning,W0614,unused-wildcard-import,2018-12-29T10:43
package_a\__main__.py,3,warning,W0614,unused-wildcard-import,2018-12-29T10:43
package_a\__main__.py,3,warning,W0614,unused-wildcard-import,2018-12-29T10:43
package_a\__main__.py,3,warning,W0614,unused-wildcard-import,2018-12-29T10:43
package_a\__main__.py,3,warning,W0614,unused-wildcard-import,2018-12-29T10:43
package_a\__main__.py,3,warning,W0614,unused-wildcard-import,2018-12-29T10:43
package_a\__main__.py,3,warning,W0614,unused-wildcard-import,2018-12-29T10:43
package_a\__main__.py,3,warning,W0614,unused-wildcard-import,2018-12-29T10:43
package_a\__main__.py,3,warning,W0614,unused-wildcard-import,2018-12-29T10:43
package_a\__main__.py,3,warning,W0614,unused-wildcard-import,2018-12-29T10:43
package_a\__main__.py,3,warning,W0614,unused-wildcard-import,2018-12-29T10:43
package_a\__main__.py,3,warning,W0614,unused-wildcard-import,2018-12-29T10:43
package_a\__main__.py,3,warning,W0614,unused-wildcard-import,2018-12-29T10:43
package_a\__main__.py,3,warning,W0614,unused-wildcard-import,2018-12-29T10:43
package_a\__main__.py,3,warning,W0614,unused-wildcard-import,2018-12-29T10:43
package_a\__main__.py,3,warning,W0614,unused-wildcard-import,2018-12-29T10:43
package_a\__main__.py,3,warning,W0614,unused-wildcard-import,2018-12-29T10:43
package_a\__main__.py,3,warning,W0614,unused-wildcard-import,2018-12-29T10:43
package_a\__main__.py,3,warning,W0614,unused-wildcard-import,2018-12-29T10:43
package_a\__main__.py,3,warning,W0614,unused-wildcard-import,2018-12-29T10:43
package_a\__main__.py,3,warning,W0614,unused-wildcard-import,2018-12-29T10:43
package_a\__main__.py,3,warning,W0614,unused-wildcard-import,2018-12-29T10:43
package_a\__main__.py,3,warning,W0614,unused-wildcard-import,2018-12-29T10:43
package_a\__main__.py,3,warning,W0614,unused-wildcard-import,2018-12-29T10:43
package_a\__main__.py,3,warning,W0614,unused-wildcard-import,2018-12-29T10:43
package_a\__main__.py,3,warning,W0614,unused-wildcard-import,2018-12-29T10:43
package_a\__main__.py,3,warning,W0614,unused-wildcard-import,2018-12-29T10:43
package_a\__main__.py,3,warning,W0614,unused-wildcard-import,2018-12-29T10:43
package_a\__main__.py,3,warning,W0614,unused-wildcard-import,2018-12-29T10:43
package_a\__main__.py,3,warning,W0614,unused-wildcard-import,2018-12-29T10:43
package_a\__main__.py,3,warning,W0614,unused-wildcard-import,2018-12-29T10:43
package_a\__main__.py,3,warning,W0614,unused-wildcard-import,2018-12-29T10:43
package_a\__main__.py,3,warning,W0614,unused-wildcard-import,2018-12-29T10:43
package_a\__main__.py,3,warning,W0614,unused-wildcard-import,2018-12-29T10:43
package_a\__main__.py,3,warning,W0614,unused-wildcard-import,2018-12-29T10:43
package_a\__main__.py,3,warning,W0614,unused-wildcard-import,2018-12-29T10:43
package_a\__main__.py,3,warning,W0614,unused-wildcard-import,2018-12-29T10:43

